	Brain_1.CEL	Brain_2.CEL	Fetal_brain_1.CEL	Fetal_brain_2.CEL	Fetal_liver_1.CEL	Fetal_liver_2.CEL	Liver_1.CEL	Liver_2.CEL
1049_g_at	1234.84763233384	1172.13327804169	1018.42454651058	1085.14099282997	1278.0406088954	1322.69056656496	1368.30792100104	1299.56434232268
105_at	763.11038309126	760.40751103562	815.07736771215	855.040670529211	957.471295790141	1127.23497803208	1332.63568357158	1476.70761032299
1050_at	225.369450143781	265.813125398411	278.039746213097	266.5584553251	239.96392761445	240.186231787216	258.920350816477	278.475328918974
1051_g_at	677.485966607312	644.651713959132	683.701421838723	577.659409204292	665.213202815726	584.50001743643	641.299673676162	717.994349103743
1052_s_at	1645.31179905116	1705.53013520957	818.553098914644	855.805281860318	8082.20094177673	8598.43044230165	3452.17287147397	2199.65262135036
1053_at	1309.40615004524	1312.72184913015	779.296548562591	759.876894075273	1153.07655323458	1124.83276651401	1182.0183430968	1398.45295126074
1054_at	420.718194150182	457.594174327818	347.80876456584	378.334329325454	372.073346939148	422.502043326118	471.809368745163	418.927071291743
1055_g_at	443.925271418781	413.09899086119	487.426312329017	527.939564301951	489.403053022036	536.565709369629	451.403783133149	455.805202002149
1056_s_at	548.570328754488	515.392384261538	484.48158566635	492.799742291051	567.035813951811	533.6420518866	650.262058247337	638.836324664502
1057_at	1815.24137538076	2058.60343628075	1339.55047226411	1407.68286786373	1669.30220338598	1754.06123829763	2414.20222544185	2601.74865848091
1058_at	2226.61315141335	2135.13311027708	1257.81136966206	1267.34803740078	834.847013858602	827.460758761204	791.761647829604	946.725230331516
1059_at	274.2352783598	320.209303052065	298.28821889426	311.598191668248	272.88141280996	276.12745983183	292.032950054314	331.478155840336
106_at	508.741917492683	473.978370376012	542.0570004106	544.188116852269	581.827315441349	599.076564119928	569.12448120915	608.138917297739
1060_g_at	1381.49114029249	1047.14787375373	1928.95468910991	2072.75297519436	1687.53955701325	1797.303992862	2160.87462337317	2059.124573547
1061_at	1107.49986885364	1123.36664820752	1042.22187423834	988.258203151918	1298.61378106788	1368.92273588148	1281.95375455846	1463.47597821433
1062_g_at	441.084481995031	439.895118864884	414.991095522508	410.591556176443	482.056588660451	484.941504251712	484.883033167254	453.912266019687
1063_s_at	3699.9561840605	4908.92794730032	3322.69399967006	2609.06357236206	2896.37349025156	2978.91245263579	2237.43784478714	2785.23268889965
1064_at	535.394624766178	465.9488127788	646.757783009042	748.7814260589	364.637989725996	407.215774053481	318.893034551855	311.752899887085
1065_at	724.088674013874	722.594742954897	722.668005529675	722.351112242662	870.994908430718	760.222926438625	877.197345806089	930.101497197781
1066_at	583.402875243927	597.3168823227	668.137369289591	605.184810342079	789.471787563964	737.168829141981	827.389871365546	789.609085208151
1067_at	610.593856299435	574.399948138676	735.595587548174	755.921225031118	734.910913548133	821.740451669387	817.978010032375	953.353802867156
1068_g_at	1892.86727610278	2027.9430938001	2184.50733599662	2180.7310993427	2380.77592209219	2324.67611843251	2262.89676667068	2355.10317451048
1069_at	343.416776195132	326.298367349961	285.115801736862	276.910949845707	312.651250305162	283.73810759258	331.954155807366	316.512760635606
107_at	700.762326043021	600.638256509425	622.466282722765	542.342232807127	692.402159866727	634.143745319995	721.578865697749	662.739099024113
1070_at	592.686665264413	548.216793072005	544.258276742931	550.931200192365	546.542438025145	546.51998972343	539.784613520824	513.1936759796
1071_at	892.732071142854	806.222909359234	1058.1788285467	990.327442227569	1070.23972732376	957.35091756527	965.554691358672	1078.91737453084
1072_g_at	2129.54133546728	2477.70214184812	2853.54686192443	2538.3335158552	2103.31223183509	2373.78134969275	2139.77505738846	2108.14363454576
1073_at	798.595113077194	671.417396328632	1264.53038938612	1244.42580778771	751.218110943953	858.531953812784	552.209660963752	518.390609801726
1074_at	457.872530370293	458.364305697616	619.371170340981	795.142702227234	426.08641273143	479.51283419002	411.100337085439	386.988491552185
1075_f_at	264.244480344436	255.25076208577	258.190785250915	246.225197273831	249.262743511081	251.919182166161	278.833871318548	293.631659696651
1076_at	290.272672265446	305.350589427177	351.986704861498	315.071713219321	332.589702826604	305.878066756858	328.375834773077	335.064068173413
1077_at	267.275919658678	278.224515770978	285.928378267496	285.261676039975	319.013123049681	316.604922724897	298.594908913737	344.408072029248
1078_at	606.367513799337	529.010452914928	673.583289329894	665.155626051705	696.202810768363	703.188333343398	773.576414149004	901.706923420506
1079_g_at	521.680107522248	453.399021597919	538.815198232933	416.412326113	588.793233576854	489.415730130994	521.480879774412	599.88696286052
108_g_at	1244.20095533356	1372.67725885187	1159.70432278433	1106.26475712856	970.267079961331	1029.06774217589	1118.16810334973	1214.23333771478
1080_s_at	507.941866086982	473.742817972929	391.559775006917	390.722226541935	466.8737693473	430.946712598334	986.214938812518	1651.02108108508
1081_at	1554.7576090847	1671.43697575409	2054.24524050841	2087.46977255063	1881.30302498449	1863.27112603599	1621.51785709247	1756.02824578777
1082_at	675.894030128883	629.879975331085	907.810911894052	914.191182974481	969.453323684079	1029.15133495517	1006.91723694688	960.159746070903
1083_s_at	678.514603617803	643.412510496555	684.576949362005	645.544835127515	758.163507230438	743.666674554457	733.26745549906	772.169436686163
1084_at	521.761226004511	505.022121315247	588.239789221235	556.469905580851	633.580576156089	620.161480855345	584.575607965936	642.666588402036
1085_s_at	1793.47870323663	1847.20322228191	2253.82547240203	2006.18818945333	1943.22243469184	1894.21788123973	1966.47760465288	1793.97088432582
1086_at	823.751056608511	766.398195155037	834.539981450448	744.264749975322	873.397207602569	873.716797139827	852.929424471557	940.225666212054
1087_at	552.513888472481	552.266133149494	523.776860310048	477.033101377031	962.978915657561	1071.00781201259	564.470145885732	621.77840748287
1088_at	391.432789466687	340.98113231082	325.435515423452	313.562833624951	351.72540303399	313.349158889192	366.632209517415	439.517869283822
1089_i_at	911.74789543731	829.633370771644	641.095966811724	622.351037369944	911.066079857924	862.953729324402	1006.94616021828	999.261651196445
109_at	1190.99415027072	1172.26197888473	929.633160932997	1005.77675737506	987.805810398608	993.877701816844	1427.54886880249	1314.94937558217
1090_f_at	318.818222489746	323.194357879628	325.923538869471	329.422108977231	319.261118116085	312.273005903967	329.634389597528	338.33032965785
1091_at	11582.3407843612	15035.2353590723	6155.99695272497	5792.29395567933	5070.01757115306	5550.75204830756	5021.91271698415	5517.67881825567
1092_at	2735.01194574366	2970.32032053588	3048.66292433141	2909.05605884636	3082.46201912165	3111.56145266029	3188.91558554768	3598.82612833149
1093_at	272.942445178528	298.312336566694	270.510773936053	284.892298493468	390.941032428673	448.656855522021	307.286625506878	312.540753235113
1094_g_at	834.186161149956	867.181411795441	872.412000269279	841.566700272976	1044.41958961518	1147.83987250516	915.178285216934	1002.14196953972
1095_s_at	221.113123144364	231.891976706604	208.178617672839	211.903059987709	245.023914575482	243.92415944514	252.853998447778	288.88296812345
1096_g_at	1378.72109692002	1290.08259113406	1350.05490098349	1311.03899500378	1465.04914620953	1278.79036547903	1391.82819678301	1388.61519267411
1097_s_at	801.430862881276	689.509361480433	811.840917156618	713.204936116846	821.399975410172	786.461859851645	809.946609484235	836.579463565063
1098_at	368.408761635231	345.706433855884	383.062165691189	361.46498224795	467.218312276451	451.332634289542	393.295399386487	424.836798021713
1099_s_at	706.42497801118	693.589067029031	490.469672074729	510.547015866383	639.356515277351	520.465867078102	564.294345094791	576.854914964407
110_at	1522.33812361891	1563.45817313137	1629.27116453819	1530.61614212873	1726.97515382617	1714.02936989621	1635.76645542979	1605.57000042241
1100_at	764.580803193609	845.303991270259	559.396090312435	572.277598263251	679.786040717855	691.704418453984	770.806355165557	682.305039364345
1101_at	3121.18845884735	3138.88423316068	2314.79904357455	2313.97482370352	1376.49424167546	1449.88979992838	1307.01884119199	1425.06992900296
1102_s_at	511.038966879208	481.598067453748	424.825771043884	431.550280370538	514.135941178484	498.742618650647	505.104245350519	461.580374879897
1103_at	849.974045140024	812.195647468321	1028.81557102123	1031.84835207315	3186.24496739838	3454.24169085272	15941.0537886723	13290.4100407554
1104_s_at	3617.87780380082	3430.01107205003	3473.25915502648	3829.34668723635	9157.55305809556	9716.21536858239	4069.05120602751	3271.56197092627
1105_s_at	1945.03570912986	2022.22615601099	1690.19598899418	1523.84315187832	1499.49206577027	1441.78070110101	1631.11726480611	1556.24397656925
1106_s_at	1073.21431729985	1051.90809366638	1295.1517116276	1216.7841372242	1397.04069861316	1446.88883793349	1435.01180299431	1579.9086942414
1107_s_at	1739.10337432262	1799.8442413926	1069.92757189219	1068.10011513168	1729.65817559338	1662.31168887436	2346.43924996489	2241.92047021439
1108_s_at	557.027096149121	484.835441739255	492.811142134572	461.111614424865	622.987188900563	591.716913626596	733.922778831051	669.451031530414
1109_s_at	1413.47668288667	1418.14151685168	1242.40641988992	1426.34432734793	1851.11096546782	1959.67593535514	1926.25247471374	1629.35549255295
111_at	802.926439268695	845.296856849835	644.807076201764	679.634090731018	1121.39947586276	1133.35991378562	967.578106335361	905.351844635728
1110_at	547.550216611402	547.837782696659	602.931627586676	579.531807938084	547.370105872378	531.713002132097	605.658888322361	579.11565778853
1111_at	385.721141349883	322.68947964875	340.314965013285	373.279557445436	410.134902859847	428.158969556942	443.32589640224	374.84982618319
1112_g_at	1296.57061537946	1419.65292855191	1303.42529535164	1220.47544230083	1288.49171875612	1292.70504024449	1482.72379188898	1433.01191197105
1113_at	379.40459652834	370.518221238427	353.600077244354	355.305123879783	390.552997697617	398.82473060228	397.572172274582	386.69555570904
1114_at	626.73520372223	573.910708239083	587.463027142809	566.508149313728	670.385036093669	656.456782899655	635.321676093302	644.627929945789
1115_at	317.974269390168	318.218478148139	403.733184868699	389.626467265593	3750.88991676405	3974.59861669921	505.259514261053	480.662018817865
1116_at	532.527846878401	493.20645552666	814.16904520911	764.578456098087	622.140794467994	648.318218013752	670.932625837515	790.264306097038
1117_at	718.188154951851	699.220891439227	623.77962541279	600.547617027326	926.209404763704	880.953797542744	1145.73560054329	1126.50272034458
1118_at	461.88923597109	420.986029851665	441.409961399619	429.509380106186	532.031306851564	494.568064259751	520.240642722188	533.429733999533
1119_at	1510.69473155792	1551.15754921959	1046.01234283477	1053.58799366643	1292.92805953245	1452.53192953134	1095.13971927482	1121.66530935439
112_g_at	366.775197604992	359.682429589897	397.27704326795	385.053381486114	409.810134391791	381.306253169689	424.887579262072	444.55128178562
1120_at	901.862769566866	861.468089719018	901.568826396452	1043.15455089842	832.714577187541	894.794006597049	1093.90308944766	960.459174465329
1121_g_at	1117.76469638149	947.538477591309	825.847960441487	787.032385095837	769.441918334112	730.65173624867	888.351176579338	852.143210319765
1122_f_at	2658.53030794935	2877.83374463533	3434.07819252319	3849.54630775847	3041.52977476718	3510.01577208785	4267.20638802506	3239.50056305295
1123_at	1958.29389422591	2170.16979713846	3029.19776686683	2712.55319920326	2070.45925348089	2044.91276931707	1894.31084213486	2038.109349795
1124_at	1004.95150382859	906.283067613834	1259.72318483637	1204.44438185089	929.483310654917	845.117367618605	960.473858928352	984.011641849099
1125_s_at	478.630937019176	486.749051905524	539.18755810389	551.521223248098	551.815674903988	541.362608082778	655.125917454095	712.826757271979
1126_s_at	410.002443180898	389.727794504723	415.471998200309	406.075870370216	460.211538581212	499.608624801807	489.273061424244	542.492294574934
1127_at	1235.6233734029	1294.8359617707	1358.27997704558	1260.7379455133	1498.18749422792	1381.01040068549	1568.5835268558	1642.15855437211
1128_s_at	405.157624685494	404.833510084643	470.378191715482	463.227718321039	454.253053667384	480.874556885675	515.329148997704	537.098734875154
1129_at	717.244042857326	711.170373654209	642.911016943038	630.472222462344	708.69074376031	681.431255352827	811.046004352785	830.754174264663
113_i_at	871.482986555611	1093.84887867433	373.058705066659	367.216716942986	395.616150701566	335.767925015767	381.125923020977	352.40937295652
1130_at	2760.66926632447	2777.73770142986	1050.47947045962	1092.71611449017	949.211730257169	1070.14258252874	1254.8433541693	1213.35460871073
1131_at	2730.38188874611	2585.8191818917	1929.13920037389	2147.17880016063	1999.96755506459	1902.7556107394	2175.60522813684	1999.41799569992
1132_s_at	1058.39386550262	1014.49796389905	1100.3476453823	1051.94093811728	1324.23163902139	1186.22992471901	1079.41441262679	1267.91032384537
1133_at	471.945188260805	441.642860426262	373.677832517846	343.853380334032	596.688052882077	503.160372230138	711.267618645179	1930.44061500068
1134_at	1395.9833101623	1487.72783199527	1157.27202703535	1036.71812692752	1173.21313348071	1015.7940120105	986.386936745958	1096.8548438292
1135_at	1416.98206436719	1505.97900640377	1372.96268746565	1223.72341133155	1259.03665372909	1348.34656776472	1292.85737098917	1459.27672103374
1136_at	873.978228662009	814.211946073401	785.974671792601	704.176502457852	922.858492509785	821.905152707135	828.061683138612	917.68192565743
1137_at	469.73968818784	532.265526323345	376.392191781913	355.753008868801	393.158264903536	385.456971537396	407.366083684806	418.24018748521
1138_at	1015.762184017	989.076954494143	867.928222254805	933.04576997474	1219.14609647997	1282.22435421748	900.20665005276	853.652414928226
1139_at	362.421080458516	348.620875504209	450.258405353343	458.836558506908	431.242721963668	426.589344277906	455.309871966371	515.957513450661
114_r_at	727.994908810988	678.491623292309	743.599710549439	772.451158327261	751.424737921788	754.309770710071	866.835793810983	839.574184445231
1140_at	493.112119057951	473.151667483038	522.506516810456	517.560311212054	544.753988772504	567.855827348633	612.951005374074	630.827027470661
1141_at	484.116693966254	504.944406143926	559.008332698338	563.246994985909	535.874198248003	553.908851609359	607.991247368416	591.62893467831
1142_at	585.274908805619	505.346409489654	712.167686997594	711.205286616911	766.150177835424	751.570836558819	779.178105579479	765.942244218978
1143_s_at	494.189286711883	518.962164314369	472.937471463869	477.738655093484	516.089718655954	536.702087813922	481.28186263411	490.420703014028
1144_at	451.595149949991	476.556672077757	471.254268471631	452.87358647337	512.058025158229	550.506121174865	598.103692520845	645.449463387273
1145_g_at	737.475857041421	767.216497311574	643.138545148011	685.741814690894	739.324525170482	689.517946126222	792.099940843786	792.131203292072
1146_at	658.681464114272	698.463783953045	750.150987014474	755.915177517257	869.832244192609	893.965741918914	925.659429648289	1013.15584659139
1147_at	766.81668319905	718.573476564023	1277.47240701727	1467.81118304784	448.081101712345	436.656347007891	370.061855679176	370.631997485798
1148_s_at	484.266418975098	472.446459253034	747.753147230795	638.258311860462	607.537098425731	616.932806906357	504.190886075674	548.638798591133
1149_at	586.442287464386	562.278165636212	615.07480740476	602.095412069405	670.048403586409	625.423997880784	662.349401382262	665.05841557782
115_at	671.884494178714	625.150003077594	967.846132801961	994.878114045676	1095.55114168168	1041.34874305127	686.609859524531	801.565538677242
1150_at	739.489234772667	692.167412895342	595.001639298105	604.999225789326	683.650928341091	664.235516964834	728.427669916561	871.139638602353
1151_at	1251.80655488406	1121.80114222557	4291.31026232729	4566.87777108802	999.39000622932	1151.25747308852	806.412109846693	831.846403244039
1152_i_at	752.509241354005	699.422580765525	859.443752097485	804.140215150805	831.897101386711	907.179750136878	922.268835152648	964.580392820655
1153_f_at	2662.31144156213	2813.67621202097	3353.35026560538	3771.07484933406	2929.63827004253	3343.96846338543	4217.27568578936	3354.85712302753
1154_at	961.390567004224	883.010369147745	797.46999370803	814.25269881751	923.954818273108	940.381297299332	792.079529800575	803.747127691675
1155_at	673.556254335691	622.857972357185	714.892324661618	607.9230931536	710.210902455277	632.91684125626	708.647444450586	677.569130734248
1156_at	779.233341537679	951.775737160947	1000.57540975568	932.585948107111	817.167064554291	813.052330164077	891.155701270364	857.978656682094
1157_s_at	387.249206494893	390.367140393623	381.2333480234	420.101872530025	404.11877914246	384.117726195742	423.867700919676	429.603756292484
1158_s_at	5672.8378980699	6474.27294691098	4656.29150957632	4652.90245131288	2203.29010244416	2221.70147099624	1826.20567628286	2141.166598819
1159_at	264.484277877168	262.876212090373	245.995973939421	247.195681249316	258.242237717333	254.635411066753	268.64723455453	265.191683985311
116_at	525.070892818879	517.874654707303	494.941990275244	483.782410782509	558.031456233378	531.023468824962	599.742886613412	595.468243985061
1160_at	2148.52725554717	2306.37648172746	1059.58655822484	1254.9235848286	1709.39482680514	1837.17494372363	2499.94015741847	1984.04259887976
1161_at	8512.27336208996	8317.83166968539	6500.16409825964	7225.23125151766	4284.36519893626	4489.23720978275	4323.4188180503	3746.17584014869
1162_g_at	746.172671578954	783.27700735067	727.410597723815	709.425625134726	758.837646207718	764.323832005347	774.662608731451	830.730192884879
1163_at	437.486027243645	502.662104122247	476.730042239197	478.403574333838	429.620061225836	451.707870145482	481.012772368346	446.299764433962
1164_at	639.071743907943	697.906183354598	670.661391748018	775.45133102962	629.869861080087	605.213610153197	784.266309004484	785.327124008654
1165_at	313.917166270499	330.680642407572	290.342298616968	275.413579518003	292.183988330218	284.288859067037	330.0684464357	337.001895641026
1166_at	2541.60737183581	2645.53827009769	1923.73487649687	2133.72018735513	2294.65035712517	2601.97503174161	2338.43804414021	2076.66628255466
1167_s_at	1500.02343179025	1395.78748542765	1808.7189725833	1794.58428741261	1666.77564643688	1590.34701415481	1489.33731566366	1470.95853233354
1168_at	430.342759798984	376.911767051791	366.337292495414	296.49892443295	388.274455244996	335.05624981556	395.654855569175	415.980378741629
1169_at	692.112454056143	606.271628323759	570.180718147995	546.850629391962	639.102551926357	621.04037601635	715.986845697982	720.86781543254
117_at	878.203533683895	791.968335362165	1098.1313313755	908.236345957165	2224.58527490864	2259.93353694097	880.584672765899	930.42652487487
1170_at	777.633224556244	742.368807171325	778.118320629293	743.433503837527	917.340629144982	830.704353791354	829.556273011471	1031.6176446399
1171_s_at	769.218057929034	726.062769414953	1082.46624739726	1015.09135533435	1035.12387801823	1068.66375999377	825.147753997469	937.998100549598
1172_at	535.994231709527	539.430115895574	544.228444556662	522.365491184712	628.264825025276	591.947173203497	625.331433701591	643.024699084956
1173_g_at	2003.58623700332	1471.7043982905	1438.52943039918	1534.74243920177	3639.99279807397	3688.51880879958	2524.12713855189	2013.19397036027
1174_at	544.235428318528	517.50909035995	657.942637515406	626.459853105499	718.672056910484	636.010258890631	657.148852038415	732.008739219775
1175_s_at	457.53476095947	430.504285527277	485.065613894246	428.288644371512	671.496929027872	612.729621959284	7336.35771888103	6843.06427486788
1176_at	777.445977037771	807.93611679063	947.787029084917	880.530997106616	750.321478084666	723.369957034083	857.268794422501	970.781897232156
1177_at	1378.55613180064	1248.55795977659	1477.8188761561	1036.70072350397	1417.39944372768	1141.6656751154	1255.2491359555	1857.21077255246
1178_at	911.034364657329	855.495481429996	859.19527160306	676.876206844464	925.091283288485	901.405919648771	887.708511875828	1175.88349546419
1179_at	7545.00375451	5721.72520418448	5183.82936510058	6154.62571492995	2297.71054586613	2438.32672860835	3052.73015535579	2463.60851625819
118_at	1229.34704713359	1478.23320458097	472.882474523981	462.654013097192	530.478649775231	495.265332640425	482.347828035364	507.422179087915
1180_g_at	8937.75831903297	6341.97317389268	8037.98359819903	8577.87811037162	3286.77177713512	3819.22155024144	3972.32900670941	3337.66978142312
1181_at	987.725474760944	955.673791105928	892.233052065763	902.765199808907	942.769363157753	867.451787833437	1073.04307436652	981.06406876786
1182_at	677.516154339064	550.664791813659	786.182468010903	920.480013506642	877.723340338988	978.48369308704	1010.42340345616	1023.33153012569
1183_at	548.462142766483	508.432201880061	563.801832818587	576.206935683319	647.834253894498	661.273301092481	707.79569749441	734.221053577637
1184_at	1065.7803145299	973.45373519541	839.935275309186	870.847516531545	1238.01396025174	1346.75905454833	1614.16894856407	1452.29966034329
1185_at	1247.08934520625	1133.83321714818	1220.33700618821	1216.31228573224	1356.74954567932	1479.68011253838	1426.67021461027	1318.60866316155
1186_at	377.536719416116	375.033155773535	391.083491100566	398.63586292098	346.576742351576	311.26153742287	347.925315752979	347.902669108438
1187_at	1033.7556820257	995.790049105636	1241.93778992602	1256.62803628736	1179.27485767461	1237.78290027666	1279.49999343844	1421.04767541417
1188_g_at	905.500094960524	856.497011239486	1459.33201399858	1544.48097171671	1233.80621483941	1329.68445643341	1372.94059506827	1559.12907201241
1189_at	709.203081431405	669.571427846894	883.204464003336	947.6319058906	789.943154919353	783.208702803032	790.782695931942	869.402096466436
119_at	702.630258567479	606.728635299515	548.735284046804	554.951521848403	697.313631460526	625.99061781594	695.081127037677	573.893803682718
1190_at	365.587303813376	374.778060077326	587.285507109382	677.558990321887	341.0289161927	336.800290580353	363.39126775533	311.034176344118
1191_s_at	1197.97760164985	1222.43079635847	1129.63423317625	1394.81613499867	867.605060103522	968.18642444297	855.37915848543	813.832281910176
1192_at	884.048750838191	902.728730753591	775.39611284547	838.293975199907	395.756367380324	420.060676408258	425.197634829322	412.812009511833
