	Brain_1	Call	p-value	Brain_2	Call	p-value	Fetal_brain_1	Call	p-value	Fetal_brain_2	Call	p-value	Fetal_liver_1	Call	p-value	Fetal_liver_2	Call	p-value	Liver_1	Call	p-value	Liver_2	Call	p-value
1032_at	661.24	A	0.14	496.6	A	0.1	769.06	A	0.16	537.6	A	0.23	1819.86	A	0.07	1347.82	A	0.12	1251.88	A	0.06	2419.59	A	0.07
1033_g_at	136.19	A	0.64	182.36	A	0.18	234.82	A	0.3	49.79	A	0.58	341.48	A	0.5	269.25	A	0.44	337.98	A	0.34	546.98	A	0.3
1034_at	715.24	A	0.07	1053.4	P	0.01	715.12	P	0.03	678.08	M	0.04	943.96	P	0.03	994.36	P	0	1136.77	M	0.04	979.21	A	0.09
1035_g_at	428.7	M	0.05	551.65	P	0	555.48	M	0.05	544.66	A	0.07	860.62	P	0	871.06	P	0	641.74	P	0.02	739.84	M	0.04
1036_at	48.77	A	0.38	2.29	A	0.75	7.27	A	0.8	7.39	A	0.72	9.41	A	0.96	29.37	A	0.62	92.12	A	0.25	46.46	A	0.52
1037_at	34.12	A	0.7	38.24	A	0.36	142.07	A	0.23	165.97	A	0.12	144.37	A	0.32	73.29	A	0.3	181	A	0.2	34.65	A	0.54
1038_s_at	338.07	P	0	186.21	P	0	457.02	P	0	516.06	P	0	367.03	P	0.01	487.53	P	0	87.22	A	0.13	85.07	A	0.23
1039_s_at	410.32	P	0	154.16	P	0.01	605.65	P	0	764.33	P	0	319.32	P	0.01	307.81	P	0	99.52	A	0.19	101.01	A	0.3
104_at	252.29	A	0.13	226.91	M	0.05	335.72	M	0.04	301.05	P	0.04	118.67	A	0.36	46.75	A	0.46	69.98	A	0.44	104.21	A	0.32
1040_s_at	43.67	A	0.68	44.24	A	0.54	216.15	A	0.12	203.16	A	0.06	30.02	A	0.93	44.32	A	0.52	22.6	A	0.98	73.24	A	0.73
1041_at	25.8	A	0.86	63.93	A	0.3	36.32	A	0.7	43.02	A	0.82	66.29	A	0.58	20.09	A	0.66	53.64	A	0.68	49.34	A	0.62
1042_at	13.94	A	0.91	6.44	A	0.64	61.74	A	0.27	70.18	A	0.07	70.56	A	0.48	95.28	A	0.18	69.26	A	0.38	14.81	A	0.8
1043_s_at	154.24	A	0.2	105.19	A	0.38	20.97	A	0.84	147.6	A	0.42	144.36	A	0.34	157.95	A	0.3	39.42	A	0.46	66.77	A	0.72
1044_s_at	115.17	A	0.09	133.94	P	0	342.01	P	0	371.53	P	0	111.69	A	0.23	107.45	P	0.03	57.18	A	0.28	74.59	A	0.25
1045_s_at	41.86	A	0.73	137.65	A	0.1	167.01	A	0.22	206.97	P	0.02	115.69	A	0.34	196.65	A	0.22	164.27	A	0.42	231.51	A	0.3
1046_at	190.51	A	0.06	154.42	P	0	431.64	P	0	561.13	P	0	125.7	A	0.1	126.63	A	0.11	185.94	A	0.18	148.84	A	0.48
