	Brain_1	Call	p-value	Brain_2	Call	p-value	Fetal_brain_1	Call	p-value	Fetal_brain_2	Call	p-value	Fetal_liver_1	Call	p-value	Fetal_liver_2	Call	p-value	Liver_1	Call	p-value	Liver_2	Call	p-value
1430_at	3221	P	0	5130.59	P	0	1325.05	P	0.01	1411.21	P	0.01	79.66	A	0.78	48.13	A	0.81	42.95	A	0.91	66.1	A	0.89
1431_at	118.99	A	0.15	178.05	P	0	250.16	A	0.06	250.73	P	0.01	2779.75	P	0	3038.9	P	0	53403.54	P	0	39709.31	P	0
1432_s_at	622.35	A	0.44	544.1	A	0.44	279.5	A	0.54	205.47	A	0.62	1006.5	A	0.4	746.82	A	0.4	955.53	A	0.42	1110.25	A	0.42
1433_g_at	330.37	A	0.14	338.47	A	0.14	42.18	A	0.68	165.73	A	0.2	179.74	A	0.6	304.56	A	0.27	285.63	A	0.28	159.11	A	0.48
1434_at	86.02	P	0.01	94.84	P	0.02	204.56	P	0	241.51	P	0	128.86	P	0	108.61	P	0.04	154.74	P	0.01	168.14	P	0.04
1435_f_at	15.16	A	0.86	12.72	A	0.78	20.72	A	0.62	12.15	A	0.66	23.38	A	0.77	19.46	A	0.66	137.32	A	0.28	12.87	A	0.77
1436_at	46.16	A	0.82	20.13	A	0.8	123.71	A	0.46	25.54	A	0.68	85.92	A	0.75	116.2	A	0.44	145.61	A	0.46	96.76	A	0.48
1437_at	252.4	A	0.27	119.51	A	0.18	264.25	A	0.11	123.33	A	0.18	180.11	A	0.4	298.22	A	0.14	257.03	A	0.22	349.04	A	0.32
1438_at	72.29	A	0.5	231.35	A	0.09	93.49	A	0.84	122.27	A	0.64	33.47	A	0.92	84.65	A	0.54	68.18	A	0.89	75.37	A	0.82
1439_s_at	167.78	A	0.28	232.81	P	0.02	141.11	A	0.44	156.15	A	0.2	289.07	A	0.18	290.27	A	0.12	292.56	A	0.18	350.46	A	0.07
144_at	66.53	A	0.64	149.3	A	0.18	77.41	A	0.44	105.03	A	0.32	219.52	A	0.3	286.5	A	0.19	165.07	A	0.72	103.51	A	0.4
1440_s_at	97.71	A	0.23	70.99	A	0.11	15.65	A	0.36	47.67	A	0.3	57.37	A	0.54	71.93	A	0.38	82.79	A	0.48	179.23	A	0.42
1441_s_at	3.48	A	0.98	1.81	A	0.93	3.69	A	0.97	2.28	A	0.95	4.45	A	1	1.07	A	1	3.35	A	0.98	6.56	A	0.95
1442_at	240.9	A	0.14	129.62	A	0.2	404.09	A	0.12	384.77	A	0.16	330.65	A	0.18	190.68	A	0.2	307.73	A	0.18	346.53	A	0.12
1443_at	45.43	A	0.86	16.68	A	0.95	34.69	A	0.91	42.23	A	0.82	750.81	P	0.02	623.68	P	0.01	47.98	A	0.95	24.18	A	0.95
1444_at	513.4	A	0.06	415.91	M	0.05	279.95	A	0.23	277.46	A	0.2	895.84	M	0.05	1027.72	P	0.02	1019.9	A	0.15	864.55	A	0.11
1445_at	164.42	A	0.16	132.15	P	0.03	179.65	M	0.05	180.25	A	0.07	570.82	P	0.01	428.09	P	0	319.01	A	0.09	369.38	A	0.09
1446_at	425.07	P	0	289.67	P	0	845.28	P	0	1026.08	P	0	747.22	P	0	729.92	P	0	463.37	P	0	369.26	P	0
1447_at	2259.73	P	0	1357.17	P	0	1496.55	P	0	2143.18	P	0	2985.03	P	0	3143.4	P	0	3228.6	P	0	2592.39	P	0
1448_at	567.61	P	0	269.33	P	0	725.27	P	0	869.51	P	0	323.7	P	0.01	306.35	P	0.01	233.51	A	0.15	70.82	A	0.68
1449_at	297.86	P	0	153.22	P	0.01	593.52	P	0	796.92	P	0	377.2	P	0.01	364.93	P	0.01	213.08	A	0.19	236.89	A	0.36
145_s_at	229.56	A	0.14	178.63	M	0.04	198.1	A	0.13	172.92	A	0.2	354.29	M	0.05	307.94	P	0.01	453.81	P	0.01	523.91	P	0.03
1450_g_at	439.21	P	0	266	P	0	713.28	P	0	961.01	P	0	442.51	P	0	585.91	P	0	185.03	A	0.09	185.98	A	0.12
1451_s_at	95.18	P	0.01	44.52	P	0	117.01	P	0	94.16	P	0.01	56.14	A	0.22	59.39	P	0.04	52.3	A	0.18	77.06	A	0.25
1452_at	2357.61	P	0	2062.35	P	0	4246.8	P	0	5070.42	P	0	356.79	P	0.02	434.17	P	0	405.66	P	0.02	533.98	P	0.03
1453_at	428.75	P	0	260.43	P	0	527.96	P	0	574.81	P	0	242.4	P	0	404.4	P	0	178.76	A	0.11	184.63	A	0.16
1454_at	91.21	A	0.56	189.07	A	0.4	241.22	A	0.44	85.33	A	0.62	135.16	A	0.6	101.2	A	0.62	105.16	A	0.73	132.26	A	0.6
1455_f_at	342.18	P	0.03	225.53	P	0.01	206.22	P	0.04	228.14	P	0.04	515.98	P	0	533.71	P	0	9623.37	P	0	7892.85	P	0
1456_s_at	163.21	P	0.03	61.28	P	0.01	162.93	P	0.01	213.25	P	0	152.21	A	0.07	128.7	P	0.01	153.48	M	0.05	105.21	P	0.04
1457_at	155.82	A	0.06	53.95	A	0.27	223.78	M	0.05	228.25	P	0.02	134.56	A	0.15	122.95	A	0.07	19.79	A	0.34	91.2	A	0.25
1458_at	407.99	A	0.38	291.36	A	0.16	249.69	A	0.66	389.64	A	0.46	634.31	A	0.34	661.57	A	0.16	527.6	A	0.46	704.27	A	0.36
1459_at	438.95	P	0	284.36	P	0	319.97	P	0.01	357.76	P	0	205.46	A	0.32	160.6	A	0.23	210.43	A	0.27	302.13	A	0.15
146_at	752.84	P	0.01	1021.19	P	0	269.92	A	0.19	447.14	A	0.08	429.78	A	0.22	465.44	A	0.18	520.91	A	0.27	181.05	A	0.48
1460_g_at	749.89	P	0	373.59	P	0	463.19	P	0	505.42	P	0	81.63	A	0.56	54.67	A	0.5	21.75	A	0.58	110.5	A	0.19
1461_at	1379.65	P	0	1488.94	P	0	870.22	P	0	1286.04	P	0	2914.08	P	0	2355.94	P	0	3266.35	P	0	1825.32	P	0
1462_s_at	60.2	A	0.99	34.05	A	1	37.96	A	1	32.51	A	1	97.91	A	0.98	71.74	A	0.99	98.33	A	0.93	109.71	A	0.99
1463_at	342.48	P	0.01	203.75	P	0	950.05	P	0	1056.07	P	0	253.16	M	0.05	302.89	P	0.01	108.71	A	0.3	74.03	A	0.46
1464_at	275.94	A	0.32	254.23	A	0.27	241.76	A	0.34	79.83	A	0.54	677.56	A	0.13	634.22	A	0.2	705.33	A	0.3	752.34	A	0.3
1465_s_at	16.7	A	0.75	7.89	A	0.88	18.02	A	0.8	8.9	A	0.88	23.37	A	0.85	9.19	A	0.89	10.74	A	0.95	18.53	A	0.77
1466_s_at	32.55	A	0.86	3.41	A	0.96	17.84	A	0.93	21.03	A	0.91	17.44	A	0.95	38.14	A	0.72	33.5	A	0.88	48.91	A	0.85
1467_at	164.55	P	0.04	118.99	P	0.01	550.34	P	0	590.23	P	0	124.51	A	0.16	219.73	P	0.01	53.9	A	0.64	30.36	A	0.46
1468_at	2408.04	P	0	2966.59	P	0	708.21	P	0	1157.44	P	0	3688.54	P	0	3568.55	P	0	3666.69	P	0	3458.93	P	0
1469_at	1615.96	A	0.23	1534.42	A	0.23	1505.52	A	0.16	1372.99	A	0.13	2153.48	A	0.14	1601.69	A	0.13	2247.22	A	0.15	2254.82	A	0.11
147_at	688.15	P	0.02	455.94	P	0.01	828.43	P	0.03	893.39	P	0.03	935.08	P	0.01	981.82	P	0.01	76.47	A	0.6	194.53	A	0.58
1470_at	500.67	A	0.18	789.21	A	0.15	175.9	A	0.82	162.84	A	0.68	319.58	A	0.58	548.69	A	0.44	2653.56	A	0.08	2033.99	M	0.04
1471_at	23.17	A	0.94	14.69	A	0.84	28.46	A	0.87	6.73	A	0.96	136.73	A	0.44	33.63	A	0.6	40.19	A	0.87	61.66	A	0.72
1472_g_at	25.94	A	0.6	125.39	A	0.36	20.42	A	0.7	38.05	A	0.58	160.57	A	0.38	135.12	A	0.3	125.12	A	0.5	52.63	A	0.56
1473_s_at	31.21	A	0.66	3.78	A	0.86	14.52	A	0.75	40.37	A	0.2	64.91	A	0.3	61.09	P	0.02	6.76	A	0.72	66.52	A	0.32
1474_s_at	24.84	A	0.75	34.28	A	0.32	62	A	0.38	86.6	A	0.2	107.45	A	0.42	138.74	M	0.05	83.77	A	0.54	77.59	A	0.42
1475_s_at	153.68	A	0.56	68.59	A	0.62	101.39	A	0.56	89.34	A	0.64	169.93	A	0.54	91.68	A	0.68	210.73	A	0.64	280.71	A	0.54
1476_s_at	78.01	A	0.54	134.55	A	0.23	191.1	A	0.46	259.24	A	0.22	155.29	A	0.52	115.23	A	0.32	50.58	A	0.82	210.02	A	0.36
1477_s_at	172.15	A	0.56	242.37	A	0.44	75.34	A	0.68	261.24	A	0.3	75.48	A	0.78	99.96	A	0.58	1398.98	A	0.06	1200.82	A	0.06
1478_at	71.53	A	0.2	77.35	P	0.03	122.31	A	0.15	155.69	P	0.03	168.16	A	0.11	126.46	A	0.07	193.93	M	0.05	160.68	A	0.07
1479_g_at	11.22	A	0.89	2.71	A	0.92	16.52	A	0.68	24.29	A	0.54	18.9	A	0.96	8.81	A	0.84	13.3	A	0.88	29.92	A	0.77
148_at	335.63	P	0.03	141.66	P	0.01	280.84	M	0.05	159.25	A	0.09	511.27	P	0.03	404.07	P	0	269.47	P	0.04	189.59	A	0.18
1480_at	172.72	P	0.03	96.01	P	0.01	348.41	P	0.01	329.96	P	0.01	224.79	A	0.13	200.25	M	0.05	107.84	A	0.27	43.11	A	0.4
1481_at	122.36	M	0.05	97.2	P	0	22.91	A	0.19	65.87	P	0.03	53.56	A	0.5	35.76	A	0.22	108.26	P	0.04	156.37	M	0.05
1482_g_at	78.25	A	0.4	37.89	A	0.28	49.35	A	0.64	86.2	A	0.32	19.43	A	0.75	14.57	A	0.58	21.72	A	0.5	21.78	A	0.46
1483_at	723.71	P	0.01	909.11	P	0	971.43	P	0.02	594.3	P	0.01	1104.18	A	0.11	706.47	A	0.13	1059.31	A	0.12	707.21	A	0.25
1484_at	235.38	P	0	122.77	P	0	250.31	P	0.03	219.71	P	0.01	87.22	A	0.25	24.16	A	0.46	17.94	A	0.77	89.43	A	0.48
1485_at	25.23	A	0.6	1.95	A	1	80.19	P	0	137.07	P	0	12.02	A	0.9	3.71	A	0.98	5.49	A	0.98	6.23	A	0.98
1486_at	2590.05	A	0.14	3397.85	A	0.07	1089.26	A	0.18	1681.43	A	0.13	2880.98	A	0.12	2950.81	A	0.06	4796.41	A	0.12	4230.91	A	0.07
1487_at	759.36	A	0.07	820.43	P	0.03	451.59	A	0.18	287.58	A	0.32	807.05	A	0.14	736.72	A	0.09	1358.17	A	0.09	1731.64	M	0.05
1488_at	1354.36	P	0	1069.34	P	0	3136.72	P	0	3330.18	P	0	507.1	P	0	692.4	P	0	672.37	P	0.01	426.54	P	0.01
1489_s_at	43.66	A	0.97	36.54	A	0.99	58.5	A	0.99	45.12	A	0.99	100	A	0.99	60.08	A	0.99	69.62	A	0.96	74.05	A	0.95
149_at	221.49	M	0.05	245.62	P	0.04	265.15	A	0.16	358.57	P	0.02	511.32	P	0	576.08	P	0	277.42	M	0.04	359.87	A	0.12
1490_at	32.54	A	0.82	15.71	A	0.78	127.36	A	0.46	104.77	A	0.28	40.15	A	0.78	91.98	A	0.42	731.33	P	0.01	422.47	A	0.09
1491_at	11.77	A	0.58	29.02	A	0.46	143.71	P	0.03	118.74	P	0.01	11.35	A	0.88	51.55	A	0.34	9.71	A	0.78	10.3	A	0.98
1492_f_at	258.58	A	0.22	293	M	0.05	324.12	A	0.15	299.61	A	0.11	801.82	P	0.02	543.14	P	0.04	11918.82	P	0	10260.86	P	0
1493_r_at	193.64	A	0.25	55.28	A	0.66	137.19	A	0.34	206.02	A	0.28	287.24	A	0.36	113.68	A	0.42	312.86	A	0.38	259.27	A	0.38
1494_f_at	542.72	M	0.05	402.97	P	0.03	493.09	A	0.06	419.05	A	0.08	1058.13	P	0.02	1068.77	P	0.01	32774.33	P	0	26755.01	P	0
1495_at	103.35	A	0.18	110.66	M	0.05	202.43	P	0.01	195.78	P	0.01	367.63	P	0.02	535.5	P	0	151.13	A	0.18	206.5	P	0.03
1496_at	1102.43	P	0	763.75	P	0	784.44	P	0	991.67	P	0	290.89	P	0.01	212.43	P	0	118.21	A	0.12	164.21	A	0.14
1497_at	166.95	A	0.42	107.99	A	0.5	386.8	A	0.25	280.6	A	0.38	1266.36	M	0.05	1379.4	P	0.03	1301.68	M	0.04	1531.18	A	0.07
1498_at	174.41	A	0.54	138.7	A	0.48	151.84	A	0.48	126.28	A	0.48	163.11	A	0.62	129.95	A	0.52	266.19	A	0.58	198.66	A	0.54
1499_at	1589.34	P	0	700.38	P	0	1708.28	P	0	2114.06	P	0	547	P	0.02	589.81	P	0.01	359.77	A	0.07	259.19	A	0.27
150_at	53.84	A	0.46	80.56	A	0.52	317.62	M	0.04	274.71	P	0.02	207.48	A	0.18	186.88	A	0.2	46.76	A	0.58	250.88	A	0.42
1500_at	72.98	A	0.19	16.61	A	0.42	36.48	A	0.38	9.52	A	0.75	74.81	A	0.14	12.53	A	0.64	12.09	A	0.86	20.69	A	0.7
1501_at	203.89	P	0	151.96	P	0.01	534.12	P	0	661.76	P	0	141.29	A	0.13	30.51	A	0.13	1530.02	P	0	1440.72	P	0
1502_s_at	10.03	A	1	11.48	A	0.95	12.78	A	1	10.29	A	0.99	19.75	A	0.97	7.09	A	0.99	23.66	A	0.9	18.54	A	0.95
1503_at	38.51	A	0.54	67.27	A	0.12	109.31	A	0.14	71.61	M	0.05	87.92	A	0.2	78.79	A	0.07	80.64	A	0.38	131.28	A	0.16
1504_s_at	61.91	A	0.77	34.93	A	0.82	262.14	A	0.22	165.63	A	0.25	24.77	A	1	15.58	A	0.98	22.59	A	0.98	24.99	A	0.99
1505_at	187.69	P	0.04	128.21	A	0.07	202.46	P	0.01	213.41	P	0.03	1297.2	P	0	1528.21	P	0	42.3	A	0.38	209.55	A	0.14
1506_at	103.54	A	0.64	126.01	A	0.54	302.7	A	0.36	86.01	A	0.56	716.9	A	0.25	575.26	A	0.2	487.51	A	0.44	342.01	A	0.46
1507_s_at	126.21	A	0.34	46.95	A	0.28	144.63	A	0.12	107.72	A	0.12	153.71	A	0.54	67.91	A	0.27	22.09	A	0.92	21.18	A	0.93
1508_at	184.17	A	0.4	123.89	A	0.46	99.82	A	0.6	47.14	A	0.8	267.7	A	0.42	247.82	A	0.32	307.86	A	0.44	298.76	A	0.42
1509_at	83.7	A	0.42	91.73	A	0.25	155.33	A	0.22	114.89	A	0.19	105.68	A	0.56	204.21	A	0.16	15.37	A	0.85	247.39	A	0.27
151_s_at	15067.66	P	0	19272.47	P	0	32126.58	P	0	36334.66	P	0	18488.16	P	0	15692.39	P	0	11566.05	P	0	9323.17	P	0
1510_g_at	56.31	A	0.95	25.2	A	0.88	59.8	A	0.84	36.14	A	0.89	297.11	A	0.42	188.85	A	0.4	63.25	A	0.89	104.19	A	0.78
1511_at	2295.51	P	0	2182.99	P	0	1331.72	A	0.08	1322.27	A	0.12	224.24	A	0.8	167.89	A	0.78	135.09	A	0.9	167.54	A	0.82
1512_at	774.37	P	0	629.94	P	0	1495.34	P	0	1952.01	P	0	363.2	P	0	408.46	P	0	144.09	P	0.01	48.22	A	0.34
1513_at	236.39	A	0.48	213.35	A	0.5	128.49	A	0.52	113.15	A	0.58	364.93	A	0.5	392.13	A	0.52	177.42	A	0.72	243.07	A	0.64
1514_g_at	39.57	A	0.78	17.58	A	0.85	112.86	A	0.32	48.33	A	0.5	233.52	A	0.44	83.01	A	0.28	44.49	A	0.88	78.82	A	0.46
1515_at	457.55	P	0	327.7	P	0	364.59	P	0.01	312.13	P	0	850.04	P	0	897.06	P	0	248.01	P	0.01	183.2	M	0.05
1516_g_at	812.75	A	0.07	510.6	P	0.01	655.78	A	0.18	593.66	A	0.19	1222.49	A	0.09	1633.22	P	0.04	221.3	A	0.5	116.58	A	0.6
1517_at	93.36	A	0.77	133.33	A	0.56	104.53	A	0.68	203.05	A	0.56	280.51	A	0.64	303.08	A	0.5	122.05	A	0.73	145.36	A	0.66
1518_at	26.59	A	0.97	27.75	A	0.87	34.86	A	0.84	34.39	A	0.82	57.15	A	0.77	35.71	A	0.84	90.27	A	0.82	49.7	A	0.91
1519_at	761.71	P	0.01	894.39	P	0	426.16	A	0.2	384.19	A	0.22	1131.26	P	0.01	1379.42	P	0	544	A	0.28	528.04	A	0.28
152_f_at	30.77	A	0.85	43.4	A	0.78	51.32	A	0.8	48.15	A	0.88	68.17	A	0.77	58.52	A	0.73	101.91	A	0.78	103.75	A	0.73
1520_s_at	73.3	A	0.87	53.14	A	0.89	95.43	A	0.66	55.7	A	0.88	85.05	A	0.66	80.26	A	0.6	67.11	A	0.96	102.82	A	0.7
1521_at	1673.06	P	0	1373.12	P	0	991.14	P	0	987.24	P	0	827.36	P	0	827.21	P	0	721.19	P	0.01	824.72	P	0
1522_at	34.59	A	1	24.31	A	0.97	37.62	A	0.98	26.46	A	0.99	56.36	A	0.98	40.4	A	0.98	42.55	A	0.99	48.64	A	0.96
1523_g_at	421.37	A	0.2	372.83	A	0.12	393.48	A	0.23	391.89	A	0.27	631.83	A	0.16	356.82	A	0.2	568.14	A	0.28	584.43	A	0.16
1524_at	526.85	P	0.02	311.99	P	0	677.05	P	0	529.62	P	0	858.26	P	0.01	399.72	P	0.04	703.93	P	0.04	785.1	P	0.02
1525_s_at	23.05	A	0.88	24.63	A	0.85	17.4	A	0.9	30.84	A	0.77	26.28	A	0.93	19.11	A	0.91	33.01	A	0.9	32.05	A	0.93
1526_i_at	34.63	A	0.91	10.62	A	0.94	19.76	A	0.94	30.01	A	0.94	28.63	A	0.77	10.92	A	0.83	21.72	A	0.88	18.98	A	0.96
1527_s_at	464.6	P	0.03	429.3	P	0.01	323.66	A	0.07	272.29	A	0.09	407.79	A	0.14	473.9	P	0.04	276.63	A	0.2	280.96	A	0.13
1528_at	35.44	A	0.92	14.87	A	0.93	47.5	A	0.86	31.38	A	0.85	33.12	A	0.96	18.59	A	0.96	35.59	A	0.88	39.17	A	0.93
1529_at	415.57	P	0	403.94	P	0	1313.07	P	0	1276.57	P	0	149.95	M	0.05	155.31	P	0.01	164.12	P	0.03	168.36	P	0.04
153_f_at	174.2	A	0.58	75.89	A	0.52	59.71	A	0.66	82.1	A	0.54	226.83	A	0.3	236.46	A	0.22	52.57	A	0.62	97.01	A	0.7
1530_g_at	100.74	M	0.05	113.59	P	0	442.23	P	0	468.11	P	0	6.75	A	0.97	15.09	A	0.6	20.36	A	0.73	9.63	A	0.87
1531_at	79.08	A	0.28	92.74	P	0.02	195.74	A	0.08	137.85	A	0.16	171.7	A	0.14	82.66	A	0.23	13.6	A	0.95	44.1	A	0.8
1532_g_at	334.44	P	0.01	336.71	P	0	769.18	P	0	535.94	P	0	194.37	A	0.13	202.33	A	0.13	212.73	A	0.15	343.32	A	0.15
1533_at	91.59	A	0.44	16.54	A	0.84	135.88	A	0.22	171.9	A	0.12	26.97	A	0.92	13.56	A	0.93	41.08	A	0.81	24.86	A	0.95
1534_at	64.07	A	0.18	64.17	P	0.03	155.3	P	0.04	183.42	P	0.02	62.01	A	0.34	21.59	A	0.52	119.2	A	0.19	105.33	A	0.27
1535_at	262.36	A	0.64	384.02	A	0.48	835.76	A	0.07	675.33	A	0.08	83	A	0.84	156.55	A	0.77	48.58	A	0.96	87.67	A	0.89
1536_at	17.83	A	0.94	25.73	A	0.6	10.4	A	0.98	6.83	A	0.98	33.29	A	0.82	87.95	A	0.48	16.53	A	0.96	17.31	A	0.96
1537_at	190.69	A	0.12	267.84	P	0	234.94	P	0.02	299.42	P	0.01	865.25	P	0.01	631.64	P	0.01	1105.65	P	0.01	976.66	P	0.01
1538_s_at	14.21	A	0.98	4.45	A	0.99	15.98	A	0.82	10.98	A	0.93	21.33	A	0.96	13.19	A	0.88	10.55	A	0.92	15.23	A	0.94
1539_at	23.89	A	0.54	33.7	A	0.42	201.55	A	0.09	185.3	P	0.02	108.34	A	0.5	101.6	A	0.25	24.16	A	0.64	30.87	A	0.54
154_at	10.01	A	0.87	3.5	A	0.46	12.66	A	0.75	58.7	A	0.27	103.86	A	0.27	39.75	A	0.58	5.34	A	0.91	6.71	A	0.88
1540_f_at	117.21	A	0.44	106.21	A	0.52	150.54	A	0.36	115.5	A	0.32	182.06	A	0.38	153.91	A	0.25	193.09	A	0.5	277.65	A	0.3
1541_f_at	151.54	A	0.52	24.97	A	0.78	49.17	A	0.7	33.65	A	0.73	76.63	A	0.78	53.53	A	0.75	70.26	A	0.8	159.53	A	0.6
1542_at	425.77	M	0.05	375.14	P	0.02	828.37	P	0.01	604.81	P	0.03	1090.52	P	0.03	898.6	P	0.02	887.18	P	0.02	897.7	P	0.01
1543_at	16.85	A	0.94	4.94	A	0.96	20.11	A	0.75	59.13	A	0.52	28.53	A	0.98	13.56	A	1	16.69	A	0.99	11.94	A	1
1544_at	43.67	A	0.4	56.26	A	0.4	63.47	A	0.34	134.86	M	0.05	13.99	A	0.6	72.96	A	0.25	7.37	A	0.75	25.1	A	0.6
1545_g_at	60.02	A	0.11	18.34	A	0.58	86.88	A	0.15	90.75	A	0.15	162.37	A	0.11	63.03	A	0.14	9.43	A	0.93	86.1	A	0.28
1546_at	36.96	A	0.7	39.29	A	0.62	41.95	A	0.8	31.04	A	0.73	1451.17	P	0	1218.28	P	0	1750.81	P	0	1932.02	P	0
1547_at	197.57	A	0.52	73.64	A	0.5	111.92	A	0.6	206.46	A	0.42	352.68	A	0.42	492.21	A	0.2	428.67	A	0.38	146.03	A	0.54
1548_s_at	58.85	A	0.58	75.77	A	0.32	87.33	A	0.4	91.14	A	0.3	51.11	A	0.64	156.9	A	0.1	135.93	A	0.38	218.73	M	0.05
1549_s_at	20.65	A	0.98	10.83	A	0.97	38.75	A	0.82	26.8	A	0.78	163.69	A	0.28	62.58	A	0.5	14.5	A	0.99	102.55	A	0.7
155_s_at	878.35	P	0	644.27	P	0	1231.3	P	0	1459.76	P	0	570.1	P	0	690.27	P	0	256.26	P	0	302.62	P	0
1550_at	847.26	A	0.1	1085.57	P	0.01	394.8	A	0.38	387.71	A	0.4	526.71	A	0.19	771.39	A	0.06	849.94	A	0.15	709.44	A	0.32
1551_g_at	1672.89	P	0.01	1787.25	P	0.01	1525.6	M	0.05	1157.95	A	0.12	1515.48	P	0.02	2001.8	P	0.02	1640.77	A	0.14	1881.32	A	0.08
1552_i_at	96.46	A	0.59	87.58	A	0.44	281.04	A	0.46	162.08	A	0.46	276.57	A	0.51	135.53	A	0.51	54.45	A	0.72	159.84	A	0.49
1553_r_at	452.76	A	0.21	644.59	A	0.08	321.62	A	0.08	258.63	A	0.08	557.94	A	0.09	345.12	A	0.08	494.07	A	0.16	606.16	A	0.08
1554_f_at	157.86	A	0.5	69.08	A	0.48	180.85	A	0.25	134.92	A	0.42	435.94	A	0.25	439.45	A	0.22	2149.52	M	0.04	3178.45	P	0.02
1555_f_at	73.92	A	0.6	41.5	A	0.56	106.37	A	0.4	50.76	A	0.48	453.88	A	0.38	257.09	A	0.38	14714.57	P	0	14068.18	P	0
1556_at	471.46	P	0	407.24	P	0	932.35	P	0	988.39	P	0	489.8	P	0	459.83	P	0	334.17	P	0.01	290.57	P	0.02
1557_at	424.65	M	0.04	918.39	P	0	248.1	A	0.25	226.99	A	0.14	25.51	A	0.85	24.58	A	0.75	51.69	A	0.78	48.15	A	0.8
1558_g_at	819.4	P	0	1314.51	P	0	278.86	P	0	316.97	P	0	295.88	P	0.02	279.95	P	0	59.02	A	0.19	143.83	A	0.08
1559_at	72.51	A	0.81	44.92	A	0.86	61.6	A	0.96	50.1	A	0.96	86.23	A	0.93	75.2	A	0.72	107.07	A	0.88	75.86	A	0.97
156_s_at	278.06	P	0	194.51	P	0	333.73	P	0	289.63	P	0	118.1	M	0.05	78.21	M	0.04	167.84	P	0.04	157.52	A	0.2
1560_g_at	19.55	A	0.77	48.74	A	0.1	201.98	P	0	257.35	P	0	126.97	A	0.4	87.89	A	0.3	49.33	A	0.58	77.7	A	0.7
1561_at	622.97	A	0.13	1010.94	M	0.05	422.63	A	0.14	560.19	A	0.15	135.69	A	0.6	89.68	A	0.64	120.08	A	0.56	52.45	A	0.84
1562_g_at	1719.25	P	0	4313.37	P	0	1427.83	P	0	1818.3	P	0	46.3	A	0.81	154.84	A	0.42	24.69	A	0.85	33.71	A	0.86
1563_s_at	498.55	A	0.11	786.54	M	0.04	589.05	A	0.08	345.87	A	0.14	2580.48	P	0	2862.07	P	0	2520.38	P	0.02	2544.65	P	0.01
1564_at	1185.64	P	0.01	1563.61	P	0	1569.37	P	0.01	1308.02	P	0	841.79	A	0.16	901.13	A	0.08	2590.79	P	0	3451.8	P	0
1565_s_at	1375.53	P	0	1326.37	P	0	862.26	P	0	1470.36	P	0	870.7	P	0.01	816.33	P	0	690.78	P	0.02	928.77	P	0.04
1566_at	513.26	A	0.27	507.41	A	0.14	1157.04	P	0.01	1194.06	P	0.01	522.57	A	0.36	359.61	A	0.14	368.62	A	0.62	631.41	A	0.28
1567_at	212.51	A	0.19	206.22	A	0.11	280.53	A	0.18	245.57	A	0.11	556.67	P	0.04	429.32	M	0.05	381.1	A	0.19	749.86	A	0.12
1568_s_at	58.94	A	0.34	28.07	A	0.36	126.5	A	0.06	154.33	A	0.2	108.54	A	0.25	148.24	A	0.09	37.7	A	0.44	101.11	A	0.22
1569_r_at	642.77	A	0.14	490.07	M	0.05	743.34	A	0.07	678.7	P	0.04	1067.35	P	0.03	997.73	P	0.01	1088.25	M	0.05	1438.38	P	0.04
157_at	27.1	A	0.8	14.51	A	0.64	14.5	A	0.95	17.64	A	0.91	26.88	A	0.91	23.87	A	0.66	19.31	A	0.85	34.94	A	0.73
1570_f_at	9.2	A	0.99	19.43	A	0.28	19.99	A	0.73	41.47	A	0.64	18.15	A	0.77	5.74	A	0.96	6.13	A	0.9	57.53	A	0.64
1571_f_at	9.97	A	0.97	22.46	A	0.58	39.56	A	0.62	48.92	A	0.36	10.59	A	0.95	3.39	A	0.95	5.56	A	0.92	3.51	A	0.98
1572_s_at	195.32	A	0.42	19.05	A	0.6	257.98	A	0.19	169.03	A	0.28	251.45	A	0.23	238.11	A	0.08	208.78	A	0.42	57.46	A	0.52
1573_at	112.86	A	0.62	276.49	A	0.44	143.64	A	0.68	90.2	A	0.62	123.56	A	0.8	111.82	A	0.64	112.81	A	0.68	375.19	A	0.5
1574_s_at	120.7	A	0.3	98.75	A	0.2	181.99	P	0.04	103.66	A	0.2	184.62	A	0.2	143.04	A	0.28	134.73	A	0.27	180.89	A	0.3
1575_at	255.53	P	0.01	138.5	P	0	174.86	P	0.01	165.33	P	0.01	190.15	P	0.04	149.58	P	0.01	256.95	P	0.01	259.66	P	0.01
1576_g_at	29.16	A	1	28.94	A	0.98	27.56	A	0.99	21.57	A	0.99	54.19	A	0.96	58.51	A	0.88	110.96	A	0.9	95.71	A	0.9
1577_at	35.25	A	0.72	23.8	A	0.6	29.58	A	0.77	32.11	A	0.54	95.69	A	0.15	283.17	A	0.12	944.69	P	0	3434.75	P	0
1578_g_at	75.86	A	0.5	129.51	A	0.14	84.18	A	0.44	67.87	A	0.34	238.86	A	0.2	182.22	A	0.2	386.89	A	0.15	1168.53	P	0
1579_at	139.37	A	0.5	34.44	A	0.78	120.15	A	0.56	28.43	A	0.7	177.71	A	0.52	137.72	A	0.44	280.63	A	0.66	347.23	A	0.56
158_at	35.4	A	0.72	110.07	M	0.05	38.3	A	0.46	113.96	A	0.18	87.48	A	0.34	23.88	A	0.73	155.27	A	0.36	135.39	A	0.44
